ID,front/title,front/icon,front/description,back/title,back/icon,back/description
chinese-essencial-in-communication-3-cloudy-day,阴天,,yīntiān,cloudy day,☁️,今天是**阴天**。 (Jīntiān shì **yīntiān**.) Today is a **cloudy day**。
chinese-essencial-in-communication-3-weather,天气,,tiānqì,weather,☀️,今天**天气**怎么样？ (Jīntiān **tiānqì** zěnmeyàng?) How is the **weather** today?
chinese-essencial-in-communication-3-weather-forecast,天气预报,,tiānqì yùbào,weather forecast,📺,我看了**天气预报**。 (Wǒ kànle **tiānqì yùbào**.) I watched the **weather forecast**。
chinese-essencial-in-communication-3-to-forecast,预报,,yùbào,to forecast,🔮,谁能**预报**未来？ (Shéi néng **yùbào** wèilái?) Who can **forecast** the future?
chinese-essencial-in-communication-3-be-likely-to,会,,huì,be likely to,🤔,明天**会**下雨吗？ (Míngtiān **huì** xià yǔ ma?) Is it **likely to** rain tomorrow?
chinese-essencial-in-communication-3-to-rain,下雨,,xià yǔ,to rain,🌧️,外面开始**下雨**了。 (Wàimiàn kāishǐ **xià yǔ** le.) It started **to rain** outside。
chinese-essencial-in-communication-3-heavy-rain,大雨,,dà yǔ,heavy rain,⛈️,我们遇到了**大雨**。 (Wǒmen yù dàole **dà yǔ**.) We encountered **heavy rain**。
chinese-essencial-in-communication-3-light-rain-drizzle,小雨,,xiǎo yǔ,"light rain, drizzle",☔,现在只是**小雨**。 (Xiànzài zhǐshì **xiǎo yǔ**.) It's only **light rain** now。
chinese-essencial-in-communication-3-why,为什么,,wèishénme,why,❓,你**为什么**在这里？ (Nǐ **wèishénme** zài zhèlǐ?) **Why** are you here?
chinese-essencial-in-communication-3-measure-word,把,,bǎ,(measure word),🔑,我有两**把**钥匙。 (Wǒ yǒu liǎng **bǎ** yàoshi.) I have two **(measure word)** keys。
chinese-essencial-in-communication-3-umbrella,伞,,sǎn,umbrella,☂️,请带你的**伞**。 (Qǐng dài nǐ de **sǎn**.) Please bring your **umbrella**。
chinese-essencial-in-communication-3-here,这里,,zhèlǐ,here,📍,我在**这里**等你。 (Wǒ zài **zhèlǐ** děng nǐ.) I'm waiting for you **here**。
